Cycle;active_ego;width_ego;length_ego;x_ego;y_ego;vx_ego;vy_ego;ax_ego;ay_ego;w_ego;active_1;width_1;length_1;x_1;y_1;vx_1;vy_1;ax_1;ay_1;w_1;active_2;width_2;length_2;x_2;y_2;vx_2;vy_2;ax_2;ay_2;w_2
0;1;1.899;5.289;10000.24118;-10.58085342;3.00E-10;0;-0.000000002;0;0.02;1;1.885342708;5;9736.811173;-8.74580571;0;0;0;0;0.00042011;1;2.065267878;7;10040.56184;-9.700850046;0;0;0;0;0.02348478
1;1;1.899;5.289;10000.24118;-10.58085342;3.00E-10;0;-1.90E-09;0;0.02;1;1.885342708;5;9736.811173;-8.74580571;0;0;0;0;0.00042011;1;2.065267878;7;10040.56184;-9.700850046;0;0;0;0;0.02348478
2;1;1.899;5.289;10000.24118;-10.58085342;3.00E-10;0;-1.90E-09;0;0.02;1;1.885342708;5;9737.06784;-8.745697882;25.6666644;0.010782844;2566.66644;1.078284378;0.00042011;1;2.065267878;7;10040.56194;-9.700847698;0.009996443;0.000234807;0.999644274;0.023480742;0.02348478
3;1;1.899;5.289;10000.24118;-10.58085342;3.00E-10;0;-1.90E-09;0;0.02;1;1.885342708;5;9737.324506;-8.745590053;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.56214;-9.700843001;0.019992886;0.000469615;0.999644274;0.023480742;0.02348478
4;1;1.899;5.289;10000.24118;-10.58085342;3.00E-10;0;-1.90E-09;0;0.02;1;1.885342708;5;9737.581173;-8.745482225;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.56244;-9.700835957;0.029989328;0.000704422;0.999644274;0.023480742;0.02348478
5;1;1.899;5.289;10000.24118;-10.58085342;3.00E-10;0;-1.90E-09;0;0.02;1;1.885342708;5;9737.83784;-8.745374396;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.56284;-9.700826565;0.039985771;0.00093923;0.999644274;0.023480742;0.02348478
6;1;1.899;5.289;10000.24118;-10.58085342;3.00E-10;0;-1.80E-09;0;0.02;1;1.885342708;5;9738.094506;-8.745266568;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.56334;-9.700814824;0.049982214;0.001174037;0.999644274;0.023480742;0.02348478
7;1;1.899;5.289;10000.24118;-10.58085342;3.00E-10;0;-1.80E-09;0;0.02;1;1.885342708;5;9738.351173;-8.745158739;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.56394;-9.700800736;0.059978656;0.001408845;0.999644274;0.023480742;0.02348478
8;1;1.899;5.289;10000.24118;-10.58085342;2.00E-10;0;-1.80E-09;0;0.02;1;1.885342708;5;9738.607839;-8.745050911;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.56464;-9.7007843;0.069975099;0.001643652;0.999644274;0.023480742;0.02348478
9;1;1.899;5.289;10000.24118;-10.58085342;8.83E-06;1.77E-07;0.010089632;-0.00020182;0.02;1;1.885342708;5;9738.864506;-8.744943082;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.56544;-9.700765515;0.079971542;0.001878459;0.999644274;0.023480742;0.02348478
10;1;1.899;5.289;10000.24118;-10.58085337;0.000832013;1.66E-05;0.182118124;-0.003642848;0.02;1;1.885342708;5;9739.121173;-8.744835254;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.56634;-9.700744382;0.089967985;0.002113267;0.999644274;0.023480742;0.02348478
11;1;1.899;5.289;10000.2412;-10.58085295;0.003977598;7.96E-05;0.455017547;-0.009101564;0.02;1;1.885342708;5;9739.377839;-8.744727426;25.6666644;0.010782844;0;0;0.00042011;1;2.065267878;7;10040.56734;-9.700720902;0.099964427;0.002348074;0.999644274;0.023480742;0.02348478
